Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
26.0,91,2.3513752571634776,82.0,3,1019.42,3,1,4.0,2,2
-2.0,98,2.970414465569701,86.0,3,981.26,0,3,3.5,2,3
17.0,90,2.4849066497880004,98.0,3,1017.49,3,3,4.0,1,2
25.0,55,2.2512917986064953,37.0,1,1014.49,4,1,7.5,1,1
-4.0,96,3.044522437723423,88.0,1,990.72,1,3,4.5,2,3
-1.0,87,2.70805020110221,78.0,3,984.11,0,3,4.0,1,3
-5.0,94,1.8718021769015913,55.0,3,991.65,0,3,3.0,1,3
22.0,95,2.6390573296152584,90.0,3,997.97,3,2,2.5,0,2
41.0,85,2.302585092994046,101.0,3,1017.89,3,1,7.5,2,1
16.0,84,2.970414465569701,54.0,3,996.12,0,0,3.0,0,2
10.0,64,2.70805020110221,18.0,3,1011.96,1,0,8.5,0,1
29.0,63,1.9459101490553132,68.0,3,992.45,0,3,3.0,2,2
15.0,55,0.9162907318741551,32.0,1,1009.01,2,2,5.5,1,1
3.0,75,3.8607297110405954,87.0,3,996.85,5,3,4.5,1,3
24.0,52,2.302585092994046,29.0,1,1007.84,1,2,8.0,2,1
25.0,85,2.302585092994046,67.0,3,995.4,1,3,2.0,2,2
25.0,89,0.9162907318741551,87.0,1,1017.16,11,1,6.5,2,0
24.0,47,2.1972245773362196,17.0,0,1025.22,5,1,6.0,2,0
2.0,97,1.0986122886681098,89.0,1,993.14,0,3,3.0,1,3
21.0,54,1.3862943611198906,17.0,0,1026.15,7,1,8.0,2,0
2.0,81,2.6741486494265287,57.0,3,983.36,1,3,4.0,1,3
21.0,75,1.5040773967762742,41.0,1,1017.74,2,3,8.0,2,1
31.0,62,2.0149030205422647,84.0,3,1013.61,0,0,4.5,1,2
33.0,31,2.0149030205422647,18.0,0,1022.53,7,1,8.5,0,0
34.0,47,1.791759469228055,4.0,0,1027.53,9,0,10.0,1,0
21.0,66,2.6741486494265287,29.0,1,1018.98,3,2,8.5,2,1
28.0,68,2.9444389791664403,90.0,3,992.83,3,3,5.0,2,2
33.0,62,2.3978952727983707,83.0,1,1009.48,1,1,3.5,1,2
25.0,96,1.9459101490553132,90.0,3,1006.67,0,2,4.5,2,2
27.0,73,2.3513752571634776,47.0,1,1017.82,1,1,7.0,0,1
49.0,75,2.5257286443082556,82.0,1,1029.09,10,1,7.0,0,0
-5.0,73,2.5649493574615367,63.0,1,983.83,1,3,4.5,1,3
31.0,62,1.8718021769015913,99.0,3,1019.92,0,1,4.5,2,2
2.0,91,2.0149030205422647,92.0,3,999.46,0,3,2.5,1,3
-7.0,78,2.3978952727983707,96.0,3,999.99,7,3,1.0,1,3
27.0,43,0.6931471805599453,8.0,0,1022.48,9,1,9.0,2,0
12.0,56,2.3513752571634776,19.0,1,1014.4,4,3,6.5,2,1
-7.0,93,2.302585092994046,60.0,3,995.63,1,3,4.0,1,3
15.0,81,3.3843902633457743,71.0,1,1008.0,4,3,6.0,1,1
30.0,64,1.9459101490553132,67.0,1,1009.12,3,1,4.0,0,2
19.0,93,2.740840023925201,57.0,3,1018.44,0,3,4.0,1,2
17.0,88,2.9444389791664403,83.0,1,1026.94,0,0,5.5,2,0
23.0,88,2.5257286443082556,65.0,3,1000.74,1,3,5.0,2,2
28.0,35,2.3513752571634776,0.0,1,1023.62,9,3,10.0,0,0
-4.0,87,1.791759469228055,54.0,3,981.02,1,3,4.5,2,3
31.0,72,2.8903717578961645,96.0,1,1013.85,13,3,3.5,1,1
40.0,66,2.1972245773362196,5.0,0,1019.82,5,2,5.5,2,0
20.0,24,1.3862943611198906,6.0,0,1013.68,9,3,6.5,2,0
-7.0,61,1.252762968495368,99.0,3,994.34,1,3,2.5,1,3
22.0,65,1.9459101490553132,14.0,1,1010.17,8,2,7.0,0,0
33.0,79,1.7047480922384253,43.0,3,1007.94,1,0,7.0,0,1
29.0,47,2.2512917986064953,2.0,0,1027.33,11,1,5.5,1,0
13.0,80,2.803360380906535,59.0,3,1012.06,0,2,3.5,2,2
27.0,39,1.791759469228055,16.0,0,1021.61,5,2,5.0,2,0
20.0,48,2.3513752571634776,6.0,0,1015.16,6,2,8.5,2,0
19.0,82,2.0794415416798357,85.0,1,1008.5,1,1,3.5,0,2
18.0,70,1.791759469228055,94.0,3,1012.87,2,0,3.5,2,2
2.0,80,2.6741486494265287,79.0,3,995.74,1,3,1.5,1,3
1.0,81,2.3513752571634776,63.0,3,983.99,1,3,3.5,2,3
22.0,69,0.6931471805599453,19.0,1,1011.5,2,2,6.0,2,1
-10.0,70,1.252762968495368,56.0,3,989.29,1,3,4.0,2,3
32.0,61,1.8718021769015913,53.0,3,995.09,2,1,4.0,1,2
41.0,29,2.1972245773362196,17.0,0,1011.53,11,0,10.0,1,0
-1.0,99,1.252762968495368,72.0,3,998.51,0,3,2.0,2,3
31.0,65,0.9162907318741551,18.0,3,1008.47,2,1,9.0,1,1
19.0,62,0.6931471805599453,14.0,1,1016.5,2,2,5.5,0,1
-3.0,92,3.367295829986474,99.0,1,987.7,1,3,4.5,2,3
-1.0,83,2.9444389791664403,73.0,3,983.46,0,3,1.5,1,3
3.0,70,1.0986122886681098,81.0,3,984.9,1,3,2.0,2,3
0.0,64,1.7047480922384253,52.0,3,984.59,1,3,1.0,1,3
26.0,76,2.302585092994046,68.0,3,1004.27,3,0,3.5,1,2
22.0,92,3.0204248861443626,81.0,3,1017.76,0,3,4.5,0,2
20.0,96,2.70805020110221,94.0,3,997.77,0,1,4.5,2,2
23.0,52,0.6931471805599453,36.0,1,1017.92,1,0,8.5,2,1
3.0,81,1.252762968495368,89.0,3,992.78,1,3,2.0,2,3
20.0,95,2.833213344056216,91.0,3,1016.14,0,1,2.5,2,2
-2.0,91,1.252762968495368,83.0,3,982.21,1,3,4.0,2,3
2.0,77,2.0149030205422647,75.0,1,998.0,0,3,3.0,2,3
16.0,67,2.0149030205422647,45.0,1,1008.69,2,1,5.5,0,1
46.0,94,1.6094379124341003,90.0,0,1022.88,10,0,12.5,2,0
-2.0,92,0.6931471805599453,71.0,3,998.01,1,3,1.5,1,3
20.0,50,2.0149030205422647,21.0,1,1013.93,4,2,6.0,1,1
0.0,64,2.4423470353692043,78.0,3,994.62,0,3,3.0,2,3
22.0,48,1.9459101490553132,15.0,0,1020.0,5,0,9.5,1,0
29.0,50,1.8718021769015913,13.0,3,1002.04,4,2,8.0,1,1
4.0,77,2.6390573296152584,76.0,3,983.25,1,3,2.5,2,3
40.0,39,2.3513752571634776,15.0,0,1029.84,8,2,8.0,0,0
-3.0,60,2.1972245773362196,94.0,3,981.56,1,3,3.0,1,3
33.0,25,1.6094379124341003,3.0,1,1027.6,11,0,6.5,0,0
31.0,87,2.4849066497880004,54.0,1,995.87,0,0,3.5,2,2
41.0,72,1.252762968495368,26.0,2,973.08,6,0,8.5,1,2
33.0,77,0.6931471805599453,22.0,1,1018.78,4,3,8.5,2,1
-9.0,90,0.9162907318741551,97.0,3,999.08,1,3,4.5,2,3
1.0,89,2.1400661634962708,76.0,1,982.22,1,3,4.5,1,3
13.0,62,2.70805020110221,13.0,3,1003.74,1,2,9.0,1,1
13.0,75,2.3513752571634776,40.0,3,1005.39,2,2,8.0,1,1
15.0,105,2.1400661634962708,75.0,3,1006.45,10,1,4.0,1,1
31.0,86,2.6741486494265287,78.0,3,999.25,3,3,4.0,1,2
26.0,60,2.5257286443082556,50.0,1,995.67,3,1,3.5,1,2
44.0,25,0.6931471805599453,6.0,1,1016.02,10,1,5.5,0,0
28.0,93,2.6026896854443837,50.0,1,997.24,0,1,5.0,0,2
18.0,88,2.803360380906535,88.0,3,997.61,1,3,3.5,1,2
30.0,77,2.5649493574615367,51.0,1,1007.88,0,0,3.5,1,2
24.0,50,1.5040773967762742,10.0,3,1017.18,4,1,6.5,2,1
36.0,32,1.9459101490553132,2.0,0,1026.15,7,0,7.5,0,0
3.0,75,2.4423470353692043,73.0,3,980.47,1,3,3.0,2,3
35.0,49,2.302585092994046,14.0,0,1010.52,10,2,7.0,0,0
26.0,43,2.0794415416798357,18.0,1,1024.37,5,1,6.0,2,0
16.0,59,2.5257286443082556,37.0,1,1004.12,4,1,6.5,2,1
38.0,73,1.252762968495368,79.0,3,1034.1,3,2,13.0,2,2
34.0,51,2.302585092994046,40.0,3,1009.21,4,0,6.0,0,1
33.0,88,2.995732273553991,98.0,3,998.8,2,2,3.0,2,2
17.0,72,3.044522437723423,56.0,3,990.4,0,1,4.0,2,2
30.0,58,0.6931471805599453,43.0,3,1018.95,2,3,6.0,1,1
17.0,69,1.0986122886681098,35.0,3,1009.83,1,0,8.5,0,1
-5.0,94,2.302585092994046,63.0,3,989.82,0,3,5.0,2,3
17.0,64,3.0204248861443626,95.0,3,1016.54,2,0,5.0,0,2
34.0,88,3.0204248861443626,73.0,3,1018.01,1,0,4.0,1,2
41.0,90,3.1135153092103742,103.0,3,1002.15,13,3,4.0,0,2
13.0,77,1.791759469228055,68.0,2,1021.09,3,2,8.5,1,1
23.0,35,1.5040773967762742,12.0,0,1028.43,7,0,8.0,1,0
16.0,96,2.995732273553991,57.0,3,1003.05,0,0,4.5,1,2
-7.0,70,2.2512917986064953,62.0,3,993.19,1,3,2.0,2,3
3.0,90,2.3513752571634776,87.0,3,997.83,0,3,2.5,2,3
21.0,64,2.995732273553991,96.0,1,1006.43,0,3,4.5,0,2
38.0,69,2.0149030205422647,19.0,0,1011.2,5,0,8.0,0,0
-6.0,81,3.0204248861443626,66.0,3,995.18,0,3,1.5,1,3
10.0,80,2.8622008809294686,99.0,3,1005.34,3,0,3.5,0,2
23.0,73,2.740840023925201,32.0,1,1002.91,4,2,7.5,2,1
15.0,97,2.6026896854443837,62.0,3,1013.38,2,3,3.0,0,2
20.0,55,1.0986122886681098,7.0,0,1029.67,9,0,9.0,1,0
26.0,82,2.9444389791664403,54.0,1,998.36,1,2,3.0,0,2
23.0,60,3.0204248861443626,62.0,1,1014.54,2,3,4.5,0,2
26.0,68,1.6094379124341003,39.0,1,1016.39,4,1,5.5,2,1
10.0,99,2.833213344056216,58.0,3,995.85,2,2,1.5,2,2
20.0,42,1.6094379124341003,13.0,1,1028.3,5,2,8.0,2,0
-1.0,94,2.6390573296152584,74.0,3,981.13,0,3,4.0,1,3
28.0,65,2.6741486494265287,48.0,1,1013.19,4,1,5.5,2,1
-10.0,94,2.1400661634962708,98.0,1,989.37,1,3,4.0,2,3
41.0,57,1.6094379124341003,19.0,0,1025.59,10,0,6.5,0,0
34.0,78,2.740840023925201,13.0,3,1014.07,1,1,6.0,2,1
33.0,30,2.3513752571634776,7.0,1,1019.11,11,0,5.0,0,0
28.0,56,2.2512917986064953,12.0,1,1013.53,1,3,7.5,0,1
34.0,99,3.5553480614894135,74.0,1,1016.03,9,2,1.0,1,2
-7.0,97,1.7047480922384253,73.0,3,987.68,0,3,2.0,2,3
31.0,100,2.772588722239781,90.0,0,1019.98,8,1,5.0,0,0
19.0,97,2.302585092994046,56.0,3,1015.74,3,0,2.0,2,2
34.0,97,2.917770732084279,76.0,3,1016.2,1,1,2.5,0,2
10.0,80,2.8903717578961645,69.0,3,1012.7,3,1,1.5,0,2
32.0,63,1.3862943611198906,46.0,1,1006.96,1,1,8.5,1,1
-7.0,82,2.1400661634962708,57.0,3,985.06,0,3,2.5,2,3
22.0,61,2.2512917986064953,13.0,1,1009.6,2,0,6.5,1,1
23.0,78,2.772588722239781,60.0,3,991.36,2,2,4.0,1,2
27.0,83,2.833213344056216,53.0,3,1003.68,1,1,2.5,0,2
-9.0,67,2.6390573296152584,92.0,3,981.36,0,3,2.0,2,3
-10.0,92,2.8903717578961645,96.0,3,982.06,1,3,4.5,2,3
10.0,68,2.1972245773362196,99.0,3,1014.01,3,0,1.5,0,2
35.0,33,2.0794415416798357,5.0,1,1025.51,5,3,7.5,0,0
22.0,89,2.5649493574615367,85.0,1,1017.54,11,3,2.0,0,1
2.0,86,2.5257286443082556,64.0,1,999.36,1,3,2.5,2,3
30.0,71,2.5649493574615367,92.0,1,992.51,2,0,3.0,2,2
30.0,55,1.791759469228055,31.0,1,1004.15,2,2,6.5,2,1
14.0,68,2.5257286443082556,11.0,3,1012.85,2,3,6.5,0,1
19.0,91,2.970414465569701,97.0,3,1011.14,0,2,4.0,1,2
34.0,71,1.6094379124341003,35.0,3,1001.54,3,1,6.5,0,1
27.0,79,2.70805020110221,29.0,1,1008.79,1,1,7.5,1,1
8.0,78,3.56953269648137,106.0,1,982.66,11,3,3.5,1,3
-3.0,76,2.3978952727983707,85.0,3,986.77,0,3,3.5,2,3
27.0,54,2.0794415416798357,11.0,1,1015.78,2,1,6.0,0,1
22.0,95,3.597312260588446,87.0,3,998.45,11,3,4.0,0,2
24.0,27,1.0986122886681098,12.0,1,1015.66,7,0,6.0,1,0
33.0,69,2.1972245773362196,5.0,0,1026.28,9,2,9.5,1,0
-10.0,72,1.252762968495368,96.0,3,988.45,0,3,2.0,2,3
28.0,108,2.1400661634962708,83.0,1,1018.84,1,1,4.0,1,0
27.0,26,2.302585092994046,14.0,1,1018.24,5,3,7.0,1,0
-9.0,71,2.3513752571634776,83.0,3,996.4,1,3,3.5,1,3
28.0,86,2.3513752571634776,52.0,3,1005.41,3,2,3.0,0,2
-4.0,64,0.6931471805599453,85.0,3,993.69,1,3,1.5,1,3
25.0,51,1.791759469228055,18.0,0,1019.65,7,2,7.0,0,0
12.0,92,3.044522437723423,51.0,3,1010.65,3,0,2.0,2,2
14.0,65,2.0149030205422647,26.0,1,1019.03,1,2,6.5,0,1
2.0,71,2.4849066497880004,66.0,3,984.83,0,3,3.0,2,3
43.0,24,2.0794415416798357,1.0,0,1020.87,9,1,7.0,1,0
-10.0,84,1.791759469228055,75.0,3,990.82,0,3,4.5,2,3
25.0,86,2.4849066497880004,75.0,3,1006.57,0,2,4.0,0,2
30.0,96,1.7047480922384253,97.0,1,1001.66,1,1,5.5,2,1
44.0,94,2.302585092994046,109.0,0,1024.46,2,0,6.5,0,0
12.0,89,2.917770732084279,75.0,3,997.65,2,2,2.0,1,2
20.0,48,1.3862943611198906,10.0,0,1019.81,10,2,9.5,1,0
32.0,71,2.995732273553991,92.0,3,1003.24,3,1,2.5,2,2
13.0,79,2.4849066497880004,63.0,3,990.71,2,0,4.5,0,2
-24.0,84,3.1986731175506815,80.0,3,984.68,0,3,1.5,2,3
22.0,46,1.791759469228055,1.0,0,1014.95,11,1,7.0,2,0
25.0,57,1.5040773967762742,0.0,1,1016.85,10,1,8.5,1,0
-4.0,69,2.740840023925201,56.0,3,994.53,1,3,3.0,2,3
0.0,73,1.6094379124341003,90.0,1,993.09,1,3,3.0,1,3
41.0,33,1.5040773967762742,5.0,1,1021.88,6,0,8.0,0,0
35.0,50,2.0794415416798357,3.0,0,1011.22,7,2,7.5,0,0
14.0,95,3.7727609380946383,106.0,1,997.34,6,1,4.0,2,2
23.0,63,1.791759469228055,2.0,0,1028.61,9,3,9.0,0,0
34.0,31,2.3513752571634776,9.0,0,1024.74,10,0,5.5,1,0
28.0,97,2.5649493574615367,99.0,1,1014.95,2,3,2.5,1,2
33.0,63,2.2512917986064953,93.0,3,990.33,2,1,3.0,0,2
12.0,88,2.3513752571634776,76.0,1,990.58,1,0,5.0,2,2
11.0,66,2.6741486494265287,39.0,1,1005.33,2,1,7.5,0,1
19.0,72,2.4849066497880004,25.0,3,1009.68,4,0,7.5,2,1
18.0,87,2.9444389791664403,58.0,3,1001.57,1,1,1.5,1,2
15.0,98,1.9459101490553132,84.0,1,1014.45,2,2,3.5,0,2
34.0,24,1.6094379124341003,13.0,0,1020.55,11,1,8.0,0,0
-7.0,89,0.6931471805599453,63.0,3,993.79,1,3,4.0,2,3
-8.0,98,2.740840023925201,94.0,3,989.03,0,3,4.0,1,3
1.0,70,2.8622008809294686,59.0,3,990.8,1,3,1.5,2,3
21.0,72,2.995732273553991,57.0,3,990.71,2,3,2.0,0,2
2.0,105,2.4423470353692043,109.0,3,990.79,0,3,3.0,2,3
21.0,46,2.1400661634962708,18.0,0,1012.01,7,1,6.0,0,0
-2.0,72,2.3513752571634776,98.0,3,991.7,1,3,1.5,2,3
31.0,95,2.995732273553991,51.0,3,1013.15,3,0,2.5,2,2
24.0,77,2.6741486494265287,89.0,1,1019.08,2,1,4.0,1,2
26.0,68,2.772588722239781,53.0,1,1014.58,3,3,2.5,1,2
60.0,86,2.5649493574615367,86.0,3,1003.36,9,2,2.0,1,1
22.0,72,2.4849066497880004,23.0,3,1015.73,2,3,5.5,1,1
32.0,58,2.0149030205422647,4.0,0,1023.83,6,1,9.0,2,0
-10.0,63,2.917770732084279,70.0,1,993.68,0,3,3.5,2,3
26.0,67,2.3978952727983707,27.0,1,1002.53,4,1,6.5,1,1
35.0,58,1.3862943611198906,19.0,0,1015.4,5,3,5.0,2,0
11.0,76,1.9459101490553132,71.0,1,974.29,7,1,9.0,0,2
26.0,27,1.8718021769015913,14.0,1,1027.6,7,0,7.5,0,0
43.0,50,2.1972245773362196,16.0,1,1017.68,5,1,5.5,0,0
33.0,58,2.1972245773362196,41.0,3,1017.0,2,3,8.0,0,1
5.0,71,2.3513752571634776,93.0,3,985.82,6,3,6.0,2,3
23.0,62,2.3978952727983707,20.0,3,1003.85,3,3,9.0,2,1
-6.0,94,1.252762968495368,93.0,3,989.21,1,3,1.5,1,3
8.0,87,2.3978952727983707,104.0,3,998.66,1,3,0.5,2,3
-6.0,106,3.5263605246161616,82.0,3,995.73,1,3,1.5,2,3
31.0,62,1.9459101490553132,21.0,1,1015.8,1,2,5.5,1,1
32.0,27,2.1972245773362196,18.0,1,1010.28,8,0,5.5,1,0
51.0,85,2.6741486494265287,77.0,0,1025.39,12,2,5.0,2,0
20.0,86,2.70805020110221,64.0,3,1000.52,1,2,2.0,0,2
22.0,58,2.6741486494265287,20.0,3,1003.77,3,3,7.5,2,1
15.0,74,2.995732273553991,81.0,1,1017.45,1,1,1.5,1,2
11.0,82,2.740840023925201,96.0,3,1014.44,8,2,7.0,1,1
19.0,79,2.4849066497880004,53.0,3,1016.38,2,0,4.0,2,2
-14.0,48,1.791759469228055,74.0,1,1022.96,8,0,5.5,0,2
14.0,80,2.6390573296152584,78.0,0,1011.38,4,2,1.5,2,0
27.0,73,2.6026896854443837,26.0,1,1008.72,4,3,6.0,2,1
21.0,25,0.6931471805599453,14.0,0,1016.38,5,2,7.0,0,0
-4.0,89,2.803360380906535,75.0,1,994.04,1,3,2.5,2,3
2.0,70,2.8903717578961645,96.0,1,992.06,0,3,4.5,1,3
42.0,28,2.1972245773362196,1.0,1,1019.49,9,0,6.5,2,0
18.0,91,2.9444389791664403,91.0,1,1000.55,1,2,2.5,0,2
10.0,88,2.970414465569701,92.0,3,998.65,6,3,1.5,0,2
50.0,72,3.481240089335692,86.0,1,1001.25,6,3,1.0,1,2
29.0,63,2.5257286443082556,52.0,3,1017.35,2,1,2.0,1,2
37.0,62,1.9459101490553132,6.0,0,1021.37,11,1,7.0,1,0
16.0,87,2.70805020110221,50.0,3,1001.96,0,1,4.5,2,2
28.0,52,2.6741486494265287,30.0,1,1011.14,3,0,5.0,0,1
16.0,78,2.772588722239781,55.0,3,1012.87,0,1,1.0,2,2
11.0,50,2.70805020110221,15.0,3,1003.19,4,1,5.5,2,1
18.0,61,1.791759469228055,19.0,1,1011.7,2,0,6.5,1,1
1.0,65,2.1972245773362196,62.0,3,996.55,0,3,5.0,2,3
12.0,70,1.252762968495368,43.0,1,1016.35,2,2,6.5,0,1
12.0,97,1.8718021769015913,86.0,3,1005.53,3,3,3.0,2,2
3.0,73,2.4423470353692043,65.0,1,993.69,1,3,2.5,2,3
-7.0,79,2.6390573296152584,86.0,3,989.76,0,3,1.5,2,3
21.0,28,2.1400661634962708,14.0,0,1015.26,10,1,5.5,1,0
39.0,74,2.302585092994046,87.0,3,1000.45,7,3,8.0,1,1
26.0,75,2.8903717578961645,61.0,3,1002.64,0,1,1.0,0,2
0.0,82,2.8903717578961645,50.0,3,988.71,1,3,4.5,2,3
27.0,69,1.3862943611198906,33.0,3,1018.37,4,0,6.5,0,1
22.0,21,1.7047480922384253,19.0,0,1026.59,5,1,5.0,0,0
30.0,81,2.8903717578961645,51.0,3,995.93,0,2,1.0,1,2
15.0,73,3.1780538303479458,86.0,1,990.25,2,0,1.0,0,2
23.0,28,1.791759469228055,0.0,1,1016.71,11,3,10.0,2,0
37.0,62,1.3862943611198906,18.0,0,1022.64,10,3,9.0,0,0
-8.0,95,3.1986731175506815,107.0,3,985.07,5,3,3.5,1,3
21.0,97,3.0204248861443626,74.0,3,996.4,3,0,3.5,1,2
17.0,51,2.4423470353692043,21.0,3,1006.16,2,1,8.0,1,1
22.0,71,2.3513752571634776,55.0,3,1018.77,1,1,3.5,0,2
36.0,66,1.0986122886681098,13.0,0,1010.25,6,1,6.5,1,0
25.0,65,2.0794415416798357,0.0,0,1014.06,10,3,5.0,0,0
27.0,55,1.7047480922384253,35.0,1,1013.66,1,0,5.5,1,1
54.0,106,3.295836866004329,83.0,3,992.65,1,3,0.5,1,2
28.0,51,2.0149030205422647,8.0,1,1011.58,10,2,8.5,2,0
34.0,69,2.1400661634962708,32.0,3,1019.04,2,0,8.5,2,1
2.0,86,0.9162907318741551,76.0,3,990.66,1,3,2.5,1,3
16.0,58,2.1400661634962708,38.0,1,1001.5,1,3,7.5,0,1
-7.0,85,1.0986122886681098,99.0,1,993.79,0,3,2.5,1,3
-3.0,81,1.9459101490553132,87.0,3,985.5,0,3,4.5,2,3
42.0,39,2.1400661634962708,17.0,1,1029.23,5,0,9.5,1,0
-5.0,69,2.8903717578961645,76.0,3,981.49,1,3,3.5,1,3
12.0,69,2.917770732084279,73.0,3,990.32,2,2,2.0,0,2
10.0,98,2.70805020110221,97.0,3,1007.79,1,0,4.5,1,2
23.0,28,2.0149030205422647,7.0,0,1022.75,5,1,8.5,0,0
37.0,109,3.1354942159291497,94.0,3,1019.37,0,2,1.5,2,2
24.0,79,2.5649493574615367,12.0,1,1013.39,3,0,6.0,0,1
36.0,96,3.624340932976365,91.0,1,996.7,10,3,3.0,2,2
44.0,29,0.6931471805599453,12.0,0,1012.63,10,2,6.0,1,0
47.0,108,2.1972245773362196,94.0,3,1003.87,3,1,10.5,2,1
30.0,72,1.8718021769015913,97.0,3,1011.47,0,0,4.0,0,2
10.0,94,2.6741486494265287,62.0,3,1005.18,1,2,5.0,0,2
28.0,59,2.302585092994046,37.0,3,1004.99,2,0,6.0,1,1
39.0,24,1.8718021769015913,9.0,1,1025.3,9,3,7.0,0,0
18.0,94,1.252762968495368,109.0,1,1018.62,11,1,6.0,0,1
23.0,25,2.3978952727983707,15.0,0,1016.92,7,0,8.5,2,0
34.0,50,2.1400661634962708,41.0,1,1012.99,2,3,7.0,0,1
29.0,61,2.70805020110221,33.0,3,1004.54,3,2,5.5,0,1
9.0,108,3.349904087274605,103.0,1,1019.52,10,0,3.0,0,1
-6.0,103,2.1972245773362196,88.0,1,995.28,5,3,1.5,2,3
12.0,74,2.833213344056216,78.0,3,994.11,2,3,2.0,0,2
66.0,83,3.068052935133617,109.0,1,1005.29,10,1,6.5,1,1
33.0,34,2.3978952727983707,2.0,1,1020.04,8,1,9.5,2,0
-8.0,85,2.302585092994046,91.0,1,987.23,1,3,2.0,2,3
29.0,95,2.772588722239781,56.0,3,1005.12,2,2,3.0,2,2
37.0,50,1.252762968495368,9.0,0,1016.98,5,0,7.0,1,0
-2.0,63,2.1400661634962708,94.0,3,980.74,0,3,1.5,1,3
21.0,68,1.3862943611198906,30.0,1,1019.34,1,2,8.0,0,1
36.0,21,1.7047480922384253,19.0,0,1020.62,6,3,6.5,0,0
20.0,51,1.5040773967762742,34.0,1,1001.09,4,2,7.0,1,1
21.0,76,2.0794415416798357,57.0,3,1014.41,3,2,1.5,0,2
12.0,62,1.8718021769015913,79.0,1,1012.12,4,3,5.5,0,2
12.0,77,1.6094379124341003,45.0,1,1008.41,4,0,8.5,1,1
10.0,57,2.2512917986064953,36.0,1,1011.7,4,1,8.0,0,1
34.0,31,1.791759469228055,6.0,0,1013.68,7,0,7.0,1,0
31.0,96,2.740840023925201,92.0,3,1000.22,12,1,10.0,2,1
13.0,97,2.2512917986064953,96.0,3,1017.24,3,2,3.5,0,2
32.0,96,2.0149030205422647,55.0,3,1002.53,2,1,2.5,0,2
36.0,81,2.1400661634962708,104.0,3,1004.2,8,2,6.0,0,1
